run_id,round,global_loss,global_metric,global_metric_name,global_aux_metric,global_score,frontier_json,scheduled_clients,attempted_clients,participating_clients,dropped_clients,avg_client_duration,max_client_duration,avg_cpu_util,max_cpu_util,avg_memory_util,max_memory_util,avg_memory_used_mb,max_memory_used_mb,avg_gpu_util,max_gpu_util,avg_gpu_memory_util,max_gpu_memory_util,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_cpu_time_s,max_cpu_time_s
56d3037e-63f0-45ed-8a88-84f67ee16689,1,0.5679194927215576,0.8424999713897705,accuracy,0.8426010326879891,0.8424999713897705,,10,7,7,3,1.8245952810559953,1.9046645164489746,36.33810143169841,41.900875721954314,64.48571428571428,64.7,5590.578683035715,5643.4921875,,,,,,,13.243303571428571,14.734375
56d3037e-63f0-45ed-8a88-84f67ee16689,2,0.345799058675766,0.8766000270843506,accuracy,0.8765042251861113,0.8766000270843506,,10,9,9,1,1.7167819341023762,1.8399510383605957,35.970427766364054,39.700460407929,64.78888888888889,65.0,5745.822048611111,5850.83203125,,,,,,,12.315972222222221,13.140625
56d3037e-63f0-45ed-8a88-84f67ee16689,3,0.30237334966659546,0.8925999999046326,accuracy,0.8914566948182253,0.8925999999046326,,10,8,8,2,1.6640776693820953,1.925544261932373,38.532952721083376,42.357256401899015,65.625,66.6,5954.318359375,6045.515625,,,,,,,12.77734375,13.8125
56d3037e-63f0-45ed-8a88-84f67ee16689,4,0.28117039799690247,0.8992000222206116,accuracy,0.8982488773584072,0.8992000222206116,,10,9,9,1,1.99500568707784,3.768249034881592,35.3567070184604,41.11643989919894,65.24444444444444,65.5,6083.713541666667,6168.0625,,,,,,,13.39236111111111,14.96875
56d3037e-63f0-45ed-8a88-84f67ee16689,5,0.27290719747543335,0.900600016117096,accuracy,0.900442069681341,0.900600016117096,,10,8,8,2,1.7834346294403076,1.8404803276062012,36.29881735394356,39.03651668348775,65.0375,65.1,6086.44873046875,6116.78125,,,,,,,12.935546875,13.734375
56d3037e-63f0-45ed-8a88-84f67ee16689,6,0.2656095027923584,0.9047999978065491,accuracy,0.9038371935204083,0.9047999978065491,,10,8,8,2,1.7964694201946259,1.8534784317016602,36.33503238529958,39.26941745974956,65.275,65.4,6147.017578125,6179.453125,,,,,,,13.046875,14.078125
56d3037e-63f0-45ed-8a88-84f67ee16689,7,0.2567664086818695,0.9090999960899353,accuracy,0.9084294433914677,0.9090999960899353,,10,9,9,1,1.7402105861239963,1.8703787326812744,37.639290105249756,44.28061246502601,65.66666666666667,65.9,6236.730034722223,6306.07421875,,,,,,,13.071180555555555,15.5625
56d3037e-63f0-45ed-8a88-84f67ee16689,8,0.2565411925315857,0.9110999703407288,accuracy,0.910475667106178,0.9110999703407288,,10,9,9,1,1.7971462673611112,1.8851118087768555,37.42803239286863,42.591269094137694,66.34444444444445,66.6,6420.876302083333,6524.76171875,,,,,,,13.425347222222221,14.875
56d3037e-63f0-45ed-8a88-84f67ee16689,9,0.2561952769756317,0.9120000004768372,accuracy,0.9114715577765665,0.9120000004768372,,10,9,9,1,1.8302995893690321,1.9567463397979736,36.40362431883386,42.30202498514164,65.66666666666667,66.4,6643.379340277777,6744.29296875,,,,,,,13.3125,14.671875
56d3037e-63f0-45ed-8a88-84f67ee16689,10,0.24615752696990967,0.9144999980926514,accuracy,0.9142597007162498,0.9144999980926514,,10,10,10,0,1.827875304222107,1.8850202560424805,36.10792941501449,41.35210967862582,66.79,67.2,6872.2078125,6990.9375,,,,,,,13.20312500000009,15.046875
