run_id,round,client_id,participated,round_fail_reason,rounds_participated_so_far,data_distribution_json,samples_count,computation_time_s,comm_bytes_up,comm_bytes_down,loss,accuracy,f1,rmse,rmse_original_units,silhouette,inertia,metric_score,extra_metric,ari,nmi,clustering_k,clustering_agg,cpu_time_s,cpu_utilization,memory_used_mb,memory_utilization,gpu_utilization,gpu_memory_used_mb,gpu_memory_utilization,availability_flag
34546117-86a0-4c9e-9477-e773837f9d78,1,client_1,1,,1,"{""0"": 3, ""1"": 16, ""2"": 29, ""3"": 15, ""4"": 12, ""5"": 58, ""6"": 9, ""7"": 23, ""8"": 33, ""9"": 2}",200,0.08138346672058105,0,0,,0.825,0.7956206830032222,,,,,0.825,0.7956206830032222,,,,,0.078125,4.799807820194699,1713.76171875,47.1,,,,1
34546117-86a0-4c9e-9477-e773837f9d78,1,client_2,0,dropped_out,0,"{""0"": 12, ""1"": 47, ""2"": 27, ""3"": 46, ""4"": 27, ""5"": 16, ""6"": 21, ""7"": 8, ""8"": 72, ""9"": 22}",298,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0
34546117-86a0-4c9e-9477-e773837f9d78,1,client_3,1,,1,"{""0"": 32, ""1"": 38, ""2"": 4, ""3"": 66, ""4"": 31, ""5"": 9, ""6"": 16, ""7"": 16, ""8"": 1, ""9"": 4}",217,0.07105135917663574,0,0,,0.7388888888888889,0.6973445966863749,,,,,0.7388888888888889,0.6973445966863749,,,,,0.078125,5.4977836388589685,1713.80078125,47.1,,,,1
34546117-86a0-4c9e-9477-e773837f9d78,1,client_4,1,,1,"{""0"": 11, ""1"": 31, ""2"": 32, ""3"": 5, ""4"": 43, ""5"": 6, ""6"": 82, ""7"": 54, ""8"": 2, ""9"": 13}",279,0.0694277286529541,0,0,,0.7861111111111111,0.740438770345805,,,,,0.7861111111111111,0.740438770345805,,,,,0.0625,4.501083444081579,1713.8046875,47.1,,,,1
34546117-86a0-4c9e-9477-e773837f9d78,1,client_5,1,,1,"{""0"": 84, ""1"": 13, ""2"": 50, ""3"": 14, ""4"": 32, ""5"": 57, ""6"": 17, ""7"": 42, ""8"": 31, ""9"": 103}",443,0.0858604907989502,0,0,,0.8861111111111111,0.8848295798496262,,,,,0.8861111111111111,0.8848295798496262,,,,,0.0625,3.6396251301631377,1713.84375,47.1,,,,1
