run_id,round,global_loss,global_metric,global_metric_name,global_aux_metric,global_score,frontier_json,scheduled_clients,attempted_clients,participating_clients,dropped_clients,avg_client_duration,max_client_duration,avg_cpu_util,max_cpu_util,avg_memory_util,max_memory_util,avg_memory_used_mb,max_memory_used_mb,avg_gpu_util,max_gpu_util,avg_gpu_memory_util,max_gpu_memory_util,avg_gpu_memory_used_mb,max_gpu_memory_used_mb,avg_cpu_time_s,max_cpu_time_s
0cb17d19-cf5b-4d40-ad3c-51e77e488174,1,1.7327293157577515,0.03333333507180214,accuracy,0.027777777777777776,0.03333333507180214,,5,5,5,0,0.2860568523406982,0.3028600215911865,5.901342461122706,6.836733757124032,67.1,67.1,6878.23828125,6895.0,,,,,,,0.3375,0.390625
0cb17d19-cf5b-4d40-ad3c-51e77e488174,2,1.6313334703445435,0.03333333507180214,accuracy,0.027777777777777776,0.03333333507180214,,5,5,5,0,0.29909305572509765,0.3436901569366455,5.806256026543138,6.89809064690651,67.26,67.3,6922.4109375,6939.16015625,,,,,,,0.346875,0.390625
0cb17d19-cf5b-4d40-ad3c-51e77e488174,3,1.5253050327301025,0.06666667014360428,accuracy,0.08838383838383838,0.06666667014360428,,5,4,4,1,0.291251540184021,0.30302953720092773,5.9108507774570445,7.369845920093695,67.4,67.4,6960.01953125,6971.83984375,,,,,,,0.34375,0.421875
0cb17d19-cf5b-4d40-ad3c-51e77e488174,4,1.418257474899292,0.20000000298023224,accuracy,0.25,0.20000000298023224,,5,4,4,1,0.29772835969924927,0.3041415214538574,5.119233040731263,5.4476098960701504,67.5,67.5,6991.3203125,7003.79296875,,,,,,,0.3046875,0.3125
0cb17d19-cf5b-4d40-ad3c-51e77e488174,5,1.3148859739303589,0.30000001192092896,accuracy,0.2989473684210526,0.30000001192092896,,5,4,4,1,0.31998324394226074,0.32840657234191895,5.3188420718215355,6.08988565667266,67.6,67.6,7023.21484375,7035.390625,,,,,,,0.33984375,0.375
0cb17d19-cf5b-4d40-ad3c-51e77e488174,6,1.2186068296432495,0.36666667461395264,accuracy,0.3118840579710145,0.36666667461395264,,5,4,4,1,0.2871144413948059,0.2899954319000244,5.649685608596309,6.585368917218146,67.7,67.7,7053.8447265625,7063.6171875,,,,,,,0.32421875,0.375
0cb17d19-cf5b-4d40-ad3c-51e77e488174,7,1.1443392038345337,0.4333333373069763,accuracy,0.4140786749482402,0.4333333373069763,,5,5,5,0,0.30130276679992674,0.32811617851257324,6.140294582316396,7.395516120139736,67.8,67.8,7087.12421875,7101.97265625,,,,,,,0.36875,0.4375
0cb17d19-cf5b-4d40-ad3c-51e77e488174,8,1.0899665355682373,0.5,accuracy,0.499047619047619,0.5,,5,4,4,1,0.3043211102485657,0.34056663513183594,5.193543641929977,5.554508000878224,67.875,67.9,7122.0771484375,7134.015625,,,,,,,0.31640625,0.359375
0cb17d19-cf5b-4d40-ad3c-51e77e488174,9,1.0195868015289307,0.699999988079071,accuracy,0.68,0.699999988079071,,5,4,4,1,0.2862664461135864,0.28839731216430664,5.524091594421941,7.334118635960837,68.0,68.0,7154.8466796875,7166.96875,,,,,,,0.31640625,0.421875
0cb17d19-cf5b-4d40-ad3c-51e77e488174,10,0.9595359563827515,0.699999988079071,accuracy,0.6581196581196581,0.699999988079071,,5,4,4,1,0.29583269357681274,0.30218935012817383,5.009358565429218,5.687659076241406,68.07499999999999,68.1,7187.1015625,7199.76171875,,,,,,,0.296875,0.34375
0cb17d19-cf5b-4d40-ad3c-51e77e488174,11,0.9090037941932678,0.699999988079071,accuracy,0.6581196581196581,0.699999988079071,,5,5,5,0,0.2976544380187988,0.3440725803375244,5.763210020922843,7.0551235352512425,68.4,68.4,7225.134375,7241.8515625,,,,,,,0.346875,0.453125
0cb17d19-cf5b-4d40-ad3c-51e77e488174,12,0.8626022934913635,0.699999988079071,accuracy,0.6581196581196581,0.699999988079071,,5,5,5,0,0.2967987537384033,0.31901001930236816,4.902753657129032,5.049504187630503,68.44,68.5,7267.48984375,7284.3203125,,,,,,,0.290625,0.296875
0cb17d19-cf5b-4d40-ad3c-51e77e488174,13,0.820526659488678,0.699999988079071,accuracy,0.6581196581196581,0.699999988079071,,5,5,5,0,0.27685184478759767,0.2873528003692627,5.64239504670119,6.027649245557208,68.58,68.6,7307.221875,7323.765625,,,,,,,0.3125,0.34375
