run_id,round,client_id,participated,round_fail_reason,rounds_participated_so_far,data_distribution_json,samples_count,computation_time_s,comm_bytes_up,comm_bytes_down,loss,accuracy,f1,rmse,rmse_original_units,silhouette,inertia,metric_score,extra_metric,ari,nmi,clustering_k,clustering_agg,cpu_time_s,cpu_utilization,memory_used_mb,memory_utilization,gpu_utilization,gpu_memory_used_mb,gpu_memory_utilization,availability_flag
07857e48-d9e2-49da-a04d-cc0706151144,1,client_1,1,,1,"{""0"": 622, ""1"": 662, ""2"": 588, ""3"": 593, ""4"": 550, ""5"": 549, ""6"": 587, ""7"": 671, ""8"": 577, ""9"": 601}",6000,1.9402005672454834,1686568,1686568,0.14451317489147186,0.9652000069618225,0.9647917844008911,,,,,0.9652000069618225,0.9647917844008911,,,,,15.703125,40.467787880027885,8655.4609375,75.4,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_10,1,,1,"{""0"": 600, ""1"": 693, ""2"": 580, ""3"": 629, ""4"": 596, ""5"": 548, ""6"": 597, ""7"": 585, ""8"": 580, ""9"": 592}",6000,1.9320907592773438,1686568,1686568,0.14135590195655823,0.9653000235557556,0.9651697848776732,,,,,0.9653000235557556,0.9651697848776732,,,,,13.484375,34.895811532796564,8792.28515625,75.5,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_2,1,,1,"{""0"": 563, ""1"": 700, ""2"": 589, ""3"": 582, ""4"": 598, ""5"": 563, ""6"": 590, ""7"": 632, ""8"": 573, ""9"": 610}",6000,1.9866864681243896,1686568,1686568,0.15565624833106995,0.9592999815940857,0.9588498044918106,,,,,0.9592999815940857,0.9588498044918106,,,,,16.90625,42.54886282071729,8661.7734375,75.4,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_3,1,,1,"{""0"": 577, ""1"": 641, ""2"": 602, ""3"": 622, ""4"": 559, ""5"": 576, ""6"": 594, ""7"": 651, ""8"": 555, ""9"": 623}",6000,1.8591115474700928,1686568,1686568,0.15366938710212708,0.9624000191688538,0.9620442456727127,,,,,0.9624000191688538,0.9620442456727127,,,,,14.0625,37.8204847878452,8672.6484375,75.3,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_4,1,,1,"{""0"": 577, ""1"": 709, ""2"": 635, ""3"": 617, ""4"": 560, ""5"": 540, ""6"": 579, ""7"": 606, ""8"": 597, ""9"": 580}",6000,2.107264280319214,1686568,1686568,0.13448898494243622,0.9689000248908997,0.9686891514634457,,,,,0.9689000248908997,0.9686891514634457,,,,,13.328125,31.624236989346734,8680.3515625,75.3,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_5,1,,1,"{""0"": 619, ""1"": 663, ""2"": 574, ""3"": 633, ""4"": 606, ""5"": 498, ""6"": 596, ""7"": 664, ""8"": 608, ""9"": 539}",6000,1.7952585220336914,1686568,1686568,0.14479917287826538,0.9656000137329102,0.9653963203531901,,,,,0.9656000137329102,0.9653963203531901,,,,,12.75,35.5102060330471,8691.21484375,75.3,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_6,0,dropped_out,0,"{""0"": 614, ""1"": 683, ""2"": 591, ""3"": 587, ""4"": 615, ""5"": 500, ""6"": 607, ""7"": 619, ""8"": 567, ""9"": 617}",6000,0.0,0,1686568,,,,,,,,,,,,,,,,,,,,,0
07857e48-d9e2-49da-a04d-cc0706151144,1,client_7,1,,1,"{""0"": 593, ""1"": 682, ""2"": 606, ""3"": 620, ""4"": 615, ""5"": 539, ""6"": 576, ""7"": 565, ""8"": 598, ""9"": 606}",6000,1.8727819919586182,1686568,1686568,0.1353798657655716,0.9678999781608582,0.9676553635439011,,,,,0.9678999781608582,0.9676553635439011,,,,,15.15625,40.46453368592328,8701.03515625,75.3,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_8,1,,1,"{""0"": 581, ""1"": 661, ""2"": 589, ""3"": 633, ""4"": 599, ""5"": 557, ""6"": 595, ""7"": 621, ""8"": 605, ""9"": 559}",6000,1.9825119972229004,1686568,1686568,0.1412220001220703,0.9667999744415283,0.9666958249673006,,,,,0.9667999744415283,0.9666958249673006,,,,,14.328125,36.136288254675925,8777.69921875,75.6,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,1,client_9,1,,1,"{""0"": 577, ""1"": 648, ""2"": 604, ""3"": 615, ""4"": 544, ""5"": 551, ""6"": 597, ""7"": 651, ""8"": 591, ""9"": 622}",6000,1.9825127124786377,1686568,1686568,0.13558125495910645,0.9682999849319458,0.9680649070120106,,,,,0.9682999849319458,0.9680649070120106,,,,,13.78125,34.7570280716384,8783.9453125,75.5,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_1,0,dropped_out,1,"{""0"": 622, ""1"": 662, ""2"": 588, ""3"": 593, ""4"": 550, ""5"": 549, ""6"": 587, ""7"": 671, ""8"": 577, ""9"": 601}",6000,0.0,0,1686568,,,,,,,,,,,,,,,,,,,,,0
07857e48-d9e2-49da-a04d-cc0706151144,2,client_10,1,,2,"{""0"": 600, ""1"": 693, ""2"": 580, ""3"": 629, ""4"": 596, ""5"": 548, ""6"": 597, ""7"": 585, ""8"": 580, ""9"": 592}",6000,1.9112393856048584,1686568,1686568,0.10331325978040695,0.9771999716758728,0.9769921779712124,,,,,0.9771999716758728,0.9769921779712124,,,,,15.46875,40.46785064316927,8847.50390625,75.7,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_2,0,dropped_out,1,"{""0"": 563, ""1"": 700, ""2"": 589, ""3"": 582, ""4"": 598, ""5"": 563, ""6"": 590, ""7"": 632, ""8"": 573, ""9"": 610}",6000,0.0,0,1686568,,,,,,,,,,,,,,,,,,,,,0
07857e48-d9e2-49da-a04d-cc0706151144,2,client_3,1,,2,"{""0"": 577, ""1"": 641, ""2"": 602, ""3"": 622, ""4"": 559, ""5"": 576, ""6"": 594, ""7"": 651, ""8"": 555, ""9"": 623}",6000,1.8825061321258545,1686568,1686568,0.10374708473682404,0.9793999791145325,0.9794144390118884,,,,,0.9793999791145325,0.9794144390118884,,,,,14.421875,38.304988105706286,8790.9609375,75.5,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_4,0,dropped_out,1,"{""0"": 577, ""1"": 709, ""2"": 635, ""3"": 617, ""4"": 560, ""5"": 540, ""6"": 579, ""7"": 606, ""8"": 597, ""9"": 580}",6000,0.0,0,1686568,,,,,,,,,,,,,,,,,,,,,0
07857e48-d9e2-49da-a04d-cc0706151144,2,client_5,1,,2,"{""0"": 619, ""1"": 663, ""2"": 574, ""3"": 633, ""4"": 606, ""5"": 498, ""6"": 596, ""7"": 664, ""8"": 608, ""9"": 539}",6000,1.8677570819854736,1686568,1686568,0.11354011297225952,0.9745000004768372,0.9744550491881524,,,,,0.9745000004768372,0.9744550491881524,,,,,15.5,41.493618601416586,8799.1328125,75.6,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_6,1,,1,"{""0"": 614, ""1"": 683, ""2"": 591, ""3"": 587, ""4"": 615, ""5"": 500, ""6"": 607, ""7"": 619, ""8"": 567, ""9"": 617}",6000,1.9850788116455078,1686568,1686568,0.11211351305246353,0.973800003528595,0.9735549676824113,,,,,0.973800003528595,0.9735549676824113,,,,,12.921875,32.54751127308785,8808.6640625,75.4,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_7,1,,2,"{""0"": 593, ""1"": 682, ""2"": 606, ""3"": 620, ""4"": 615, ""5"": 539, ""6"": 576, ""7"": 565, ""8"": 598, ""9"": 606}",6000,1.8177146911621094,1686568,1686568,0.11060817539691925,0.9750000238418579,0.9748797262735771,,,,,0.9750000238418579,0.9748797262735771,,,,,13.453125,37.00560122391675,8819.83203125,75.5,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_8,1,,2,"{""0"": 581, ""1"": 661, ""2"": 589, ""3"": 633, ""4"": 599, ""5"": 557, ""6"": 595, ""7"": 621, ""8"": 605, ""9"": 559}",6000,1.9044864177703857,1686568,1686568,0.12324831634759903,0.9711999893188477,0.9713158522041135,,,,,0.9711999893188477,0.9713158522041135,,,,,13.5625,35.606712322679215,8827.84375,75.6,,,,1
07857e48-d9e2-49da-a04d-cc0706151144,2,client_9,1,,2,"{""0"": 577, ""1"": 648, ""2"": 604, ""3"": 615, ""4"": 544, ""5"": 551, ""6"": 597, ""7"": 651, ""8"": 591, ""9"": 622}",6000,1.8809411525726318,1686568,1686568,0.10975402593612671,0.9764000177383423,0.9761693800031898,,,,,0.9764000177383423,0.9761693800031898,,,,,13.109375,34.84791372146287,8837.8671875,75.6,,,,1
